[{'num_units': 1024, 'dropout_rate': 0.3, 'optimizer': 'adam', 'n_epochs': 20, 'batch_size': 50, 'class_weight_binary': 1, 'pool_size': 4, 'n_augm': 1800}, (0.5392857193946838, 0.18300428986549377)]
[{'num_units': 128, 'dropout_rate': 0.0, 'optimizer': 'Adamax', 'n_epochs': 20, 'batch_size': 100, 'class_weight_binary': 0, 'pool_size': 2, 'n_augm': 200}, (0.6767857074737549, 0.11863388866186142)]
[{'num_units': 1024, 'dropout_rate': 0.9, 'optimizer': 'RMSprop', 'n_epochs': 10, 'batch_size': 100, 'class_weight_binary': 1, 'pool_size': 4, 'n_augm': 1800}, (0.6767857074737549, 0.21534156799316406)]
[{'num_units': 1024, 'dropout_rate': 0.6, 'optimizer': 'RMSprop', 'n_epochs': 5, 'batch_size': 10, 'class_weight_binary': 1, 'pool_size': 4, 'n_augm': 200}, (0.36517858505249023, 0.17980827391147614)]
[{'num_units': 32, 'dropout_rate': 0.9, 'optimizer': 'Adamax', 'n_epochs': 20, 'batch_size': 10, 'class_weight_binary': 1, 'pool_size': 4, 'n_augm': 200}, (0.5866071581840515, 0.11786419153213501)]
[{'num_units': 1024, 'dropout_rate': 0.6, 'optimizer': 'RMSprop', 'n_epochs': 5, 'batch_size': 10, 'class_weight_binary': 1, 'pool_size': 4, 'n_augm': 1800}, (0.7848214507102966, 0.11598639190196991)]
[{'num_units': 32, 'dropout_rate': 0.6, 'optimizer': 'adam', 'n_epochs': 10, 'batch_size': 100, 'class_weight_binary': 1, 'pool_size': 4, 'n_augm': 1800}, (0.6517857313156128, 0.14508511126041412)]
[{'num_units': 512, 'dropout_rate': 0.6, 'optimizer': 'RMSprop', 'n_epochs': 10, 'batch_size': 100, 'class_weight_binary': 0, 'pool_size': 2, 'n_augm': 1800}, (0.40535715222358704, 0.21160541474819183)]
[{'num_units': 512, 'dropout_rate': 0.9, 'optimizer': 'RMSprop', 'n_epochs': 20, 'batch_size': 10, 'class_weight_binary': 0, 'pool_size': 4, 'n_augm': 1800}, (0.7616071701049805, 0.123511902987957)]
[{'num_units': 512, 'dropout_rate': 0.0, 'optimizer': 'RMSprop', 'n_epochs': 10, 'batch_size': 10, 'class_weight_binary': 1, 'pool_size': 4, 'n_augm': 200}, (0.15803571045398712, 0.1670580953359604)]
[{'num_units': 1024, 'dropout_rate': 0.0, 'optimizer': 'adam', 'n_epochs': 10, 'batch_size': 100, 'class_weight_binary': 0, 'pool_size': 4, 'n_augm': 200}, (0.6812499761581421, 0.1659388542175293)]
[{'num_units': 1024, 'dropout_rate': 0.3, 'optimizer': 'Adamax', 'n_epochs': 10, 'batch_size': 500, 'class_weight_binary': 1, 'pool_size': 4, 'n_augm': 200}, (0.12767857313156128, 0.18947719037532806)]
[{'num_units': 1024, 'dropout_rate': 0.9, 'optimizer': 'RMSprop', 'n_epochs': 20, 'batch_size': 50, 'class_weight_binary': 0, 'pool_size': 4, 'n_augm': 200}, (0.8955357074737549, 0.0)]
[{'num_units': 512, 'dropout_rate': 0.3, 'optimizer': 'sgd', 'n_epochs': 20, 'batch_size': 50, 'class_weight_binary': 1, 'pool_size': 2, 'n_augm': 200}, (0.3526785671710968, 0.19288186728954315)]
