[{'num_units': 32, 'dropout_rate': 0.9, 'optimizer': 'adam', 'n_epochs': 7, 'batch_size': 20, 'class_weight_binary': 1, 'pool_size': 4, 'n_augm': 1800, 'k_size': 7, 'stride_size': 3}, (0.8116071224212646, 0.04825679585337639, 0.49166804552078247, 0.04047619551420212, 0.0758928582072258)]
[{'num_units': 32, 'dropout_rate': 0.9, 'optimizer': 'adam', 'n_epochs': 7, 'batch_size': 30, 'class_weight_binary': 1, 'pool_size': 4, 'n_augm': 0, 'k_size': 7, 'stride_size': 3}, (0.6473214030265808, 0.14375726878643036, 0.4930405616760254, 0.2820175588130951, 0.10346543788909912)]
[{'num_units': 32, 'dropout_rate': 0.9, 'optimizer': 'adam', 'n_epochs': 7, 'batch_size': 10, 'class_weight_binary': 1, 'pool_size': 4, 'n_augm': 200, 'k_size': 7, 'stride_size': 3}, (0.10625000298023224, 0.17649605870246887, 0.5061661005020142, 0.6339285969734192, 0.10625001043081284)]
[{'num_units': 32, 'dropout_rate': 0.9, 'optimizer': 'adam', 'n_epochs': 7, 'batch_size': 30, 'class_weight_binary': 1, 'pool_size': 4, 'n_augm': 1800, 'k_size': 5, 'stride_size': 3}, (0.10625000298023224, 0.18421576917171478, 0.5, 0.9210526347160339, 0.10438597947359085)]
[{'num_units': 32, 'dropout_rate': 0.9, 'optimizer': 'adam', 'n_epochs': 7, 'batch_size': 20, 'class_weight_binary': 1, 'pool_size': 4, 'n_augm': 200, 'k_size': 5, 'stride_size': 1}, (0.10625000298023224, 0.18403781950473785, 0.4963020086288452, 0.8535714149475098, 0.10554511100053787)]
[{'num_units': 32, 'dropout_rate': 0.9, 'optimizer': 'adam', 'n_epochs': 7, 'batch_size': 10, 'class_weight_binary': 1, 'pool_size': 4, 'n_augm': 200, 'k_size': 5, 'stride_size': 2}, (0.17946428060531616, 0.18016387522220612, 0.5237409472465515, 0.5997023582458496, 0.11038832366466522)]
[{'num_units': 32, 'dropout_rate': 0.9, 'optimizer': 'adam', 'n_epochs': 7, 'batch_size': 10, 'class_weight_binary': 1, 'pool_size': 4, 'n_augm': 1800, 'k_size': 5, 'stride_size': 1}, (0.8776785731315613, 0.03928570821881294, 0.5480108261108398, 0.03973213583230972, 0.0491071380674839)]
[{'num_units': 32, 'dropout_rate': 0.9, 'optimizer': 'adam', 'n_epochs': 7, 'batch_size': 20, 'class_weight_binary': 1, 'pool_size': 4, 'n_augm': 1800, 'k_size': 5, 'stride_size': 3}, (0.1160714253783226, 0.18527601659297943, 0.5018174648284912, 0.8511905074119568, 0.10637009143829346)]
[{'num_units': 32, 'dropout_rate': 0.9, 'optimizer': 'adam', 'n_epochs': 7, 'batch_size': 20, 'class_weight_binary': 1, 'pool_size': 4, 'n_augm': 1800, 'k_size': 5, 'stride_size': 1}, (0.8660714030265808, 0.050085026770830154, 0.5186998248100281, 0.03541667014360428, 0.089285708963871)]
[{'num_units': 32, 'dropout_rate': 0.9, 'optimizer': 'adam', 'n_epochs': 7, 'batch_size': 20, 'class_weight_binary': 1, 'pool_size': 4, 'n_augm': 1800, 'k_size': 3, 'stride_size': 1}, (0.893750011920929, 0.0, 0.5, 0.0, 0.0)]
[{'num_units': 32, 'dropout_rate': 0.9, 'optimizer': 'adam', 'n_epochs': 7, 'batch_size': 30, 'class_weight_binary': 1, 'pool_size': 4, 'n_augm': 1800, 'k_size': 3, 'stride_size': 3}, (0.10625000298023224, 0.18421576917171478, 0.5001805424690247, 0.9210526347160339, 0.10438597947359085)]
[{'num_units': 32, 'dropout_rate': 0.9, 'optimizer': 'adam', 'n_epochs': 7, 'batch_size': 20, 'class_weight_binary': 1, 'pool_size': 4, 'n_augm': 1800, 'k_size': 7, 'stride_size': 2}, (0.10625000298023224, 0.18522830307483673, 0.5, 0.8571428656578064, 0.10624999552965164)]
[{'num_units': 32, 'dropout_rate': 0.9, 'optimizer': 'adam', 'n_epochs': 7, 'batch_size': 30, 'class_weight_binary': 1, 'pool_size': 4, 'n_augm': 1800, 'k_size': 7, 'stride_size': 1}, (0.10625000298023224, 0.18421576917171478, 0.5, 0.9210526347160339, 0.10438597947359085)]
[{'num_units': 32, 'dropout_rate': 0.9, 'optimizer': 'adam', 'n_epochs': 7, 'batch_size': 20, 'class_weight_binary': 1, 'pool_size': 4, 'n_augm': 1800, 'k_size': 3, 'stride_size': 3}, (0.893750011920929, 0.0, 0.4962936043739319, 0.0, 0.0)]
[{'num_units': 32, 'dropout_rate': 0.9, 'optimizer': 'adam', 'n_epochs': 7, 'batch_size': 30, 'class_weight_binary': 1, 'pool_size': 4, 'n_augm': 200, 'k_size': 7, 'stride_size': 3}, (0.8544642925262451, 0.07694234699010849, 0.5357919335365295, 0.056578949093818665, 0.14473684132099152)]
[{'num_units': 32, 'dropout_rate': 0.9, 'optimizer': 'adam', 'n_epochs': 7, 'batch_size': 30, 'class_weight_binary': 1, 'pool_size': 4, 'n_augm': 200, 'k_size': 7, 'stride_size': 3}, (0.10982143133878708, 0.18477864563465118, 0.5, 0.9210526347160339, 0.10474895685911179)]
